judul,clean_text,dataset,file,row_id
"Mengenal Kremasi: Proses, Tujuan, dan Alasan Mengapa Orang Memilihnya",kenal kremasi proses tuju alas orang pilih,kompas,kompas.csv,59
Megawati Sebut Perilaku Ibu-ibu Perlu Diteliti untuk Mengetahui Situasi Perekonomian RI,megawati perilaku ibuibu teliti situasi ekonomi ri,kompas,kompas.csv,60
"Peluang Bisnis Virtual Cocok untuk Gen Z, Kamu Tertarik?",peluang bisnis virtual cocok gen z tarik,kompas,kompas.csv,61
Apa Alasan Ogoh-ogoh Harus Dibakar Setelah Diarak?,alas ogohogoh bakar arak,kompas,kompas.csv,62
Warna-warni Alam Hadir dalam Koleksi Ubin Keramik Roman,warnawarni alam hadir koleksi ubin keramik roman,kompas,kompas.csv,63
"Pertama Kali ke Menara Kembar Kuala Lumpur, Simak 3 Tips Berwisata",kali menara kembar kuala lumpur simak tips wisata,kompas,kompas.csv,64
"Lagi, Ara Mau Bagi-bagi Rumah Subsidi Buat ART",ara bagibagi rumah subsidi art,kompas,kompas.csv,65
Mumi Bangsawan Peru Berusia 5.000 Tahun Ditemukan di Bekas Pembuangan Sampah,mumi bangsawan peru usia temu bekas buang sampah,kompas,kompas.csv,66
Cara Bayar Hutang Puasa yang Sudah Terlewat hingga Bertahun-tahun,bayar hutang puasa lewat bertahuntahun,kompas,kompas.csv,67
"1.500 Pekerja Telah Kembali ke IKN, Pembangunan Berlanjut",kerja ikn bangun lanjut,kompas,kompas.csv,68
Oleh-oleh Jemaah Haji Tak Kena Cukai Asal Nilainya Tak Lebih dari Rp 49 Juta,oleholeh jemaah haji kena cukai nilai rp juta,kompas,kompas.csv,69
"Dedi Mulyadi Ingin Vasektomi Jadi Syarat Terima Bansos, Ini Prosedur Medisnya…",dedi mulyadi vasektomi syarat terima bansos prosedur medis,kompas,kompas.csv,70
Paket Box Camper Praktis untuk Petualangan Pakai Pikap,paket box camper praktis tualang pakai pikap,kompas,kompas.csv,71
7 Penyebab Cat Dinding Menggelembung dan Cara Mengatasinya,sebab cat dinding gelembung atas,kompas,kompas.csv,72
Benarkah Tidak Boleh Minum Air Putih Sebelum Tidur?,minum air putih tidur,kompas,kompas.csv,73
"Bandara Palembang Jadi Internasional, Sektor Pariwisata Sambut Antusias",bandara palembang internasional sektor pariwisata sambut antusias,kompas,kompas.csv,74
"Kapal Karam di Pulau Tikus: 10 Penumpang Ditemukan Selamat, Pencarian Resmi Ditutup",kapal karam pulau tikus tumpang temu selamat cari resmi tutup,kompas,kompas.csv,75
"Dikritik Kuasa Hukum Hasto, Jaksa KPK Sebut Kesaksian Penyelidik Relevan meski Tak Lihat Langsung",kritik kuasa hukum hasto jaksa kpk saksi selidik relevan lihat langsung,kompas,kompas.csv,76
YouTube Shorts Tambah Fitur Editing Video untuk Saingi TikTok,youtube shorts fitur editing video saing tiktok,kompas,kompas.csv,77
Bolehkah Penderita Penyakit Ginjal Banyak Minum Air? Ini Penjelasannya,derita sakit ginjal minum air jelas,kompas,kompas.csv,78
"Jan Hwa Diana Laporkan Pemkot Surabaya yang Dinilai Diskriminatif, Ini Kata Ombudsman Belum Bisa Tindaklanjuti",jan hwa ana lapor pemkot surabaya nilai diskriminatif ombudsman tindaklanjuti,kompas,kompas.csv,79
"Gaji Rp 10 Juta, Berapa Harga Rumah yang Bisa Dibeli di Jabodetabek?",gaji rp juta harga rumah beli jabodetabek,kompas,kompas.csv,80
"Daftar Harga MPV Murah Mei 2025, Mulai Rp 167 Jutaan",daftar harga mpv murah mei rp juta,kompas,kompas.csv,81
Penyebab Penyakit Gagal Ginjal yang Harus Diwaspadai,sebab sakit gagal ginjal waspada,kompas,kompas.csv,82
Benarkah Kecelakaan KA Harina di Semarang Akibat Palang Pintu Rel Telat Ditutup?,celaka ka harina semarang akibat palang pintu rel telat tutup,kompas,kompas.csv,83
Apakah Vasektomi Menyebabkan Impoten pada Pria? Ini Penjelasan Dokter…,vasektomi sebab impoten pria jelas dokter,kompas,kompas.csv,84
"Agar Mesin Awet, Begini Cara Memilih Oli Sesuai Spesifikasi Mobil",mesin awet pilih oli sesuai spesifikasi mobil,kompas,kompas.csv,85
Pertamina Hulu Energi Terbitkan Obligasi Global 1 Miliar Dollar AS,pertamina hulu energi terbit obligasi global miliar dollar,kompas,kompas.csv,86
Rekening Dormant Anda Menerima Transferan Tak Dikenal? Waspadai Sindikat Judol!,rekening dormant terima transfer kenal waspada sindikat judol,kompas,kompas.csv,87
"4 Cara Membuat Es Krim Vanila Pakai Telur, Hindari Kesalahan Peserta MasterChef Indonesia 12",es krim vanila pakai telur hindar salah serta masterchef indonesia,kompas,kompas.csv,88
"Ada Demo Ojol Hari Ini, Rekayasa Lalu Lintas Bersifat Situasional",demo ojol rekayasa lintas sifat situasional,kompas,kompas.csv,89
Bolehkah Mencuci Karpet dengan Mesin Cuci?,cuci karpet mesin cuci,kompas,kompas.csv,90
Jadwal Pendaftaran Penukaran Uang Baru Bank Indonesia 22-23 Maret 2025,jadwal daftar tukar uang bank indonesia maret,kompas,kompas.csv,91
Polisi Tangkap 61 Pelaku Pungutan Liar di Bekasi,polisi tangkap laku pungut liar bekas,kompas,kompas.csv,92
"Apa Itu Inti Atom? Struktur, Isi, dan Sejarah Penemuannya",inti atom struktur isi sejarah temu,kompas,kompas.csv,93
"Dorong Rantai Pasok Berkelanjutan, Yayasan Astra Tingkatkan Kapasitas IKM Nasional",dorong rantai pasok lanjut yayasan astra tingkat kapasitas ikm nasional,kompas,kompas.csv,94
"Minta Reklamasi Dihentikan, Nelayan: Lebih Baik Mati Berdarah daripada Kelaparan",reklamasi henti nelayan mati darah lapar,kompas,kompas.csv,95
"Bandoeng 10K 2025, Saat Kota Bandung Jadi Magnet Pelari Nasional dan Internasional",bandoeng k kota bandung magnet lari nasional internasional,kompas,kompas.csv,96
"Ulah Meresahkan ""Debt Collector"" Akhir-akhir Ini: Banting Karyawan dan Tendang Pintu Rumah",ulah resah debt collector akhirakhir banting karyawan tendang pintu rumah,kompas,kompas.csv,97
CFD Depok Pekan Kedua: Antusias Warga Padati Jalan Arif Rahman Hakim,cfd depok pekan antusias warga padat jalan arif rahman hakim,kompas,kompas.csv,98
"Tanggapi Pernyataan Cella KotaK, Posan Tobing: Itu Hoax",tanggap nyata cella kotak pos tobing hoax,kompas,kompas.csv,99
"LIVE Inter Vs Barcelona 2-3, Barca ""Remontada"" Berkat Raphinha",live inter vs barcelona barca remontada berkat raphinha,kompas,kompas.csv,100
"Jangan Abai, 9 Red Flag Pernikahan yang Bisa Berujung pada Perceraian",abai red flag nikah ujung cerai,kompas,kompas.csv,101
Apakah Hewan Bisa Tertawa Seperti Kita?,hewan tertawa,kompas,kompas.csv,102
[POPULER PROPERTI] KRL Baru Buatan Tanah Air Diuji Sejauh 4.000 Kilometer,populer properti krl buat tanah air uji kilometer,kompas,kompas.csv,103
"Viral Patung Rajawali Rp 180 Juta di Indramayu, Ini Sosok Pembuatnya",viral patung rajawali rp juta indramayu sosok buat,kompas,kompas.csv,104
"Rilis Priceless, Maroon 5 Senang Bisa Kolaborasi dengan Lisa BLACKPINK",rilis priceless maroon senang kolaborasi lisa blackpink,kompas,kompas.csv,105
Modal dan Peralatan yang Dibutuhkan untuk Membuka Usaha Kaos Sablon,modal alat butuh buka usaha kaos sablon,kompas,kompas.csv,106
Dekoruma Buka Gerai Ke-32 di Penyangga IKN,dekoruma buka gerai sangga ikn,kompas,kompas.csv,107
"Al Ghazali Akan Menikah, Maia Estianty: Jangan Sakiti Hati Perempuan",al ghazali meni maia estianty sakit hati perempuan,kompas,kompas.csv,108
"Skor Man United Vs Athletic Club 4-1: MU ke Final, Amorim Tertekan",skor man united vs athletic club mu final amorim tekan,kompas,kompas.csv,109
"Selain Indonesia, Vaksin TBC Bill Gates Juga Diuji Coba di Negara Ini",indonesia vaksin tbc gates uji coba negara,kompas,kompas.csv,110
"Dulu Luna Maya Sering Ditanya Kapan Nikah, Raffi Ahmad: Meskipun Ketawa, Gue Tahu Gimana Hatinya Dia",luna maya nikah raffi ahmad ketawa gue gimana hati,kompas,kompas.csv,111
11 Tahapan Makeup untuk Pemula agar Wajah Terlihat Flawless,tahap makeup mula wajah flawless,kompas,kompas.csv,112
Thom Haye Antusias Sambut Laga Indonesia vs Malaysia,thom haye antusias sambut laga indonesia vs malaysia,kompas,kompas.csv,113
"Curang di UTBK SNBT 2025, Peserta Bisa Ditolak Masuk Semua Jalur PTN",curang utbk snbt serta tolak masuk jalur ptn,kompas,kompas.csv,114
"Bagi-bagi Lahan Gratis buat Kedubes di IKN, Basuki Tekankan Prinsip Resiprokal",bagibagi lahan gratis dubes ikn basuki tekan prinsip resiprokal,kompas,kompas.csv,115
"UB ""Blacklist"" 2 Peserta Curang UTBK 2025 di Semua Jalur, Termasuk Mandiri",ub blacklist serta curang utbk jalur mandiri,kompas,kompas.csv,116
5 Tempat untuk Melihat Aurora Borealis yang Bikin Langit Berwarna Hijau,aurora boreal bikin langit warna hijau,kompas,kompas.csv,117
"Palak Pedagang di Bogor Setiap Hari, 5 Preman Ditangkap Polisi",palak dagang bogor preman tangkap polisi,kompas,kompas.csv,118
"Resep Bumbu Sate Ayam Sebelum Dibakar, Aromanya Keluar Maksimal",resep bumbu sate ayam bakar aroma maksimal,kompas,kompas.csv,119
Ingin Memberi Makan Kucing Liar? Ini Jenis Makanan yang Dibutuhkan,makan kucing liar jenis makan butuh,kompas,kompas.csv,120
Rekayasa Lalu Lintas Diterapkan Selama Perbaikan Jalur Parung Panjang,rekayasa lintas terap baik jalur parung,kompas,kompas.csv,121
"Jadwal KRL Jogja - Solo Besok, Jam Berapa Kereta Paling Pagi?",jadwal krl jogja solo besok jam kereta pagi,kompas,kompas.csv,122
"Prabowo Tiba di Brunei Darussalam, Bakal Bertemu Sultan Hassanal Bolkiah",prabowo brunei darussalam temu sultan hassanal bolkiah,kompas,kompas.csv,123
Berapa Jumlah Video di YouTube sejak 20 Tahun Lalu hingga Sekarang?,video youtube,kompas,kompas.csv,124
3 Cara Meditasi Sebelum Tidur agar Lebih Nyenyak,meditasi tidur nyenyak,kompas,kompas.csv,125
"Cara Bikin Poster Idul Fitri 2025 Menarik via Meta AI WhatsApp, Mudah",bikin poster idul fitri tarik meta ai whatsapp mudah,kompas,kompas.csv,126
Raffi Ahmad Menangis Haru di Pernikahan Luna Maya dan Maxime Bouttier,raffi ahmad menang haru nikah luna maya maxime bouttier,kompas,kompas.csv,127
"6 Minuman untuk Bantu Redakan Batuk Kering, Ada Teh Jahe",minum bantu reda batuk kering teh jahe,kompas,kompas.csv,128
"2.000 Rumah Akan Dapat Bantuan PSU, Dananya Rp 20 Miliar",rumah bantu psu dana rp miliar,kompas,kompas.csv,129
"Tingkatkan Inovasi Wirausaha Muda, Program Lanjutan Entredev 2024 Digelar",tingkat inovasi wirausaha muda program lanjut entredev gelar,kompas,kompas.csv,130
Rahasia Di Balik Warna Oranye Pada Bulu Kucing,rahasia warna oranye bulu kucing,kompas,kompas.csv,131
"Hendak Akhiri Perang, Zelensky Hanya Ingin Bertemu Putin",perang zelensky temu putin,kompas,kompas.csv,132
"7 Ras Kucing Kecil, Unik dan Menggemaskan",ras kucing unik gemas,kompas,kompas.csv,133
4 Cara Mudah Membuat Bisnis Lebih Ramah Lingkungan,mudah bisnis ramah lingkung,kompas,kompas.csv,134
Garuda Calling! Daftar Pemain Timnas Indonesia untuk Laga lawan China dan Jepang,garuda calling daftar main timnas indonesia laga lawan china jepang,kompas,kompas.csv,135
Pakai Desain Minimalis untuk Website Bisnis? Ini 4 Keuntungannya,pakai desain minimal website bisnis untung,kompas,kompas.csv,136
"Akhirnya, Pembangunan Landasan Pacu 2.200 Meter Bandara IKN Rampung",bangun landas pacu meter bandara ikn rampung,kompas,kompas.csv,137
"Bandara Ahmad Yani Jadi Internasional, Peluang Wisata Jateng untuk Mendunia",bandara ahmad yani internasional peluang wisata jateng dunia,kompas,kompas.csv,138
"Serunya Liburan di Lost World Castle, Sewa Hanbok Korea",seru libur lost world castle sewa hanbok korea,kompas,kompas.csv,139
11 Golongan Manusia yang Dilihat Nabi Muhammad Saat Isra Miraj,golong manusia nabi muhammad isra miraj,kompas,kompas.csv,140
Unggahan Terakhir Valeria Marquez Sebelum Tewas Ditembak Saat Live TikTok,unggah valeria marquez tewas tembak live tiktok,kompas,kompas.csv,141
"Unair Buka Jalur Mandiri Khusus Siswa yang Gagal SNBP 2025, Cek Syarat dan UKT",unair buka jalur mandiri khusus siswa gagal snbp cek syarat ukt,kompas,kompas.csv,142
6 Poin Hasil Kunjungan Prabowo ke Thailand: Perangi TPPO hingga Antisipasi Pandemi Baru,poin hasil kunjung prabowo thailand rang tppo antisipasi pandemi,kompas,kompas.csv,143
"HUT Ke-50, TMII Tebar Diskon Tiket Masuk 50 Persen",hut tmii tebar diskon tiket masuk persen,kompas,kompas.csv,144
"Dedi Mulyadi Rencanakan Vasektomi Jadi Syarat Penerima Bansos di Jabar, Berapa Biayanya?",dedi mulyadi rencana vasektomi syarat terima bansos jabar biaya,kompas,kompas.csv,145
"Setia di Jalur Tradisi, Perajin Kuda Lumping Asal Semarang Ini Bertahan di Tengah Modernisasi",setia jalur tradisi rajin kuda lumping semarang tahan modernisasi,kompas,kompas.csv,146
"Ada Xpander dan Xpander Cross Baru, Segini Harga Bekasnya di Pasaran",xpander xpander cross gin harga bekas pasar,kompas,kompas.csv,147
"Profil Kosmos 482 yang Berpotensi Jatuh di Indonesia Minggu Ini, Kecepatannya Setara Meteor",profil kosmos potensi jatuh indonesia minggu cepat tara meteor,kompas,kompas.csv,148
Bisakah Seorang Penyanyi Memecahkan Gelas?,nyanyi pecah gelas,kompas,kompas.csv,149
Taiwan Tawarkan Investasi Infrastruktur dan Teknologi di IKN,taiwan tawar investasi infrastruktur teknologi ikn,kompas,kompas.csv,150
Kemendikti Minta Mahasiswa ITB Pengunggah Meme Presiden Dibina,kemendikti mahasiswa itb unggah meme presiden bina,kompas,kompas.csv,151
Ketahui Tanda Seseorang Butuh Konsultasi dengan Psikolog,tahu tanda butuh konsultasi psikolog,kompas,kompas.csv,152
Mulut Terasa Pahit Gejala Penyakit Apa? Berikut 6 Daftarnya,mulut pahit gejala sakit daftar,kompas,kompas.csv,153
"Daftar Tanggal Merah dan Cuti Bersama Mei 2025, Siap-siap Libur Panjang Awal Pekan Nanti",daftar tanggal merah cuti mei siapsiap libur pekan,kompas,kompas.csv,154
"Cek 8 Sekolah Kedinasan Paling Diminati, Kuliah Gratis Lulus Bisa Jadi CPNS",cek sekolah dinas mati kuliah gratis lulus cpns,kompas,kompas.csv,155
Kedudukan dan Fungsi Konstitusi,duduk fungsi konstitusi,kompas,kompas.csv,156
"Uban di Usia Muda: Penyebab, Solusi, dan Tips dari Dokter Spesialis",uban usia muda sebab solusi tips dokter spesialis,kompas,kompas.csv,157
IFCA Gandeng Gapensi Latih Anggota Gunakan Perangkat AI,ifca gandeng gapensi latih anggota perangkat ai,kompas,kompas.csv,158
Asteroid Sebesar Bus Sekolah Melintas Dekat Bumi Hari Ini,asteroid bus sekolah lintas bumi,kompas,kompas.csv,159
"KPR BCA Tertahan di Awal 2025, Bank Harap Dorongan Kebijakan Pemerintah",kpr bca tahan bank harap dorong bijak perintah,kompas,kompas.csv,160
6 Posisi Tidur Anjing dan Artinya,posisi tidur anjing,kompas,kompas.csv,161
"6 Cara Mencegah Stres Berlarut, Salah Satunya Nikmati Me Time",cegah stres larut salah satu nikmat time,kompas,kompas.csv,162
Ancol Targetkan 100.000 Pengunjung pada Pekan Libur Lebaran 2025,ancol target unjung pekan libur lebaran,kompas,kompas.csv,163
"Tingkatkan Akses Air Bersih Balikpapan, PTMB Bakal Gandeng KKT",tingkat akses air bersih balikpapan ptmb gandeng kkt,kompas,kompas.csv,164
"Siapkan Waktu Perjalanan, Ada Perbaikan Tol Padaleunyi hingga 9 Mei",siap jalan baik tol padaleunyi mei,kompas,kompas.csv,165
Kapan Perasaan Bahagia Paling Sering Muncul?,asa bahagia muncul,kompas,kompas.csv,166
"Panasonic Pastikan PHK Tidak Terjadi di Indonesia, Manajemen: Pabrik di RI Basis Ekspor...",panasonic pasti phk indonesia manajemen pabrik ri basis ekspor,kompas,kompas.csv,167
"Tips Memilih Outfit untuk Yoga dan Pilates, Bukan Sekadar Modis",tips pilih outfit yoga pilates modis,kompas,kompas.csv,168
Kevin Ray Mendoza Ingin Persib Lebih Baik di Kancah Asia,kevin ray mendoza persib kancah asia,kompas,kompas.csv,169
Rangkuman Hasil Wakil Indonesia di Babak 32 Besar Thailand Open 2025,rangkum hasil wakil indonesia babak thailand open,kompas,kompas.csv,170
"Salah Transfer, Bagaimana Cara Mengembalikan Uang Nasabah?",salah transfer kembali uang nasabah,kompas,kompas.csv,171
4 Syarat Penukaran Uang Baru Lebaran di Kas Keliling Bank Indonesia,syarat tukar uang lebaran kas keliling bank indonesia,kompas,kompas.csv,172
"Kualitas Air di Citra Garden City 2 Extention Turun, PAM JAYA Siapkan 6 Rencana Aksi",kualitas air citra garden city extention turun pam jaya siap rencana aksi,kompas,kompas.csv,173
"Tak Ada Susu di Menu Makan Bergizi Gratis, Wamenkop: Perlu Diberikan Susu UHT atau Bubuk",susu menu makan gizi gratis wamenkop susu uht bubuk,kompas,kompas.csv,174
Perempuan di Salatiga Ditusuk Orang Tak Dikenal saat Naik Motor,perempuan salatiga tusuk orang kenal motor,kompas,kompas.csv,175
